,0
343,Never Let Me Go (Paperback)
344,"MaddAddam (MaddAddam, #3)"
345,The Time Traveler's Wife (ebook)
346,"Annihilation (Southern Reach, #1)"
347,The Road (Hardcover)
348,"Ready Player One (Ready Player One, #1)"
349,The Left Hand of Darkness (Hainish Cycle #4)
350,The City & the City (Hardcover)
351,Station Eleven (Hardcover)
352,Do Androids Dream of Electric Sheep? (Kindle Edition)
353,Kindred (Paperback)
354,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
355,"The Diamond Age: Or, A Young Lady's Illustrated Primer (Paperback)"
356,The Three-Body Problem (Remembrance of Earth’s Past #1)
357,"Catching Fire (The Hunger Games, #2)"
358,"Ender's Game (Ender's Saga, #1)"
359,The Ocean at the End of the Lane (Hardcover)
360,Foundation (Foundation #1)
361,"Dune (Dune Chronicles, #1)"
362,The Dispossessed (Hainish Cycle #6)
363,Dark Matter (Hardcover)
364,Anathem (Hardcover)
365,Brave New World (Paperback)
366,"The Hunger Games (The Hunger Games, #1)"
367,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
368,The Giver (Paperback)
369,Fahrenheit 451 (Kindle Edition)
370,"Mockingjay (The Hunger Games, #3)"
371,The Martian (Hardcover)
372,The Man in the High Castle (Paperback)
373,The Hobbit or There and Back Again (Paperback)
374,"Neuromancer (Sprawl, #1)"
375,Snow Crash (Kindle Edition)
376,"Divergent (Divergent, #1)"
377,"The Fifth Season (The Broken Earth, #1)"
378,1984 (Kindle Edition)
379,"The Year of the Flood  (MaddAddam, #2)"
380,The Handmaid's Tale (Paperback)
381,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
382,Slaughterhouse-Five (Paperback)
383,"Oryx and Crake (MaddAddam, #1)"
384,Cloud Atlas (Paperback)
385,"A Wrinkle in Time (Time Quintet, #1)"
386,The Power (Hardcover)
387,"Parable of the Sower (Earthseed, #1)"
388,Frankenstein (Paperback)
389,A Clockwork Orange (Paperback)
390,Stories of Your Life and Others (ebook)
391,American Gods (Kindle Edition)
392,"A Canticle for Leibowitz (St. Leibowitz, #1)"
393,Never Let Me Go (Paperback)
394,"MaddAddam (MaddAddam, #3)"
395,The Time Traveler's Wife (ebook)
396,"Annihilation (Southern Reach, #1)"
397,The Road (Hardcover)
398,"Ready Player One (Ready Player One, #1)"
399,The Left Hand of Darkness (Hainish Cycle #4)
400,The City & the City (Hardcover)
401,Station Eleven (Hardcover)
402,Do Androids Dream of Electric Sheep? (Kindle Edition)
403,Kindred (Paperback)
404,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
405,"The Diamond Age: Or, A Young Lady's Illustrated Primer (Paperback)"
406,The Three-Body Problem (Remembrance of Earth’s Past #1)
407,"Catching Fire (The Hunger Games, #2)"
408,"Ender's Game (Ender's Saga, #1)"
